step,loss,lr,grad_norm
172,0.5257,8.939e-07,4.5938
173,0.4637,8.380e-07,4.0938
174,0.6013,7.821e-07,4.7188
175,0.5553,7.263e-07,4.7812
176,0.6386,6.704e-07,5.2188
177,0.57,6.145e-07,4.6562
178,0.5093,5.587e-07,4.5625
179,0.5532,5.028e-07,4.5938
180,0.4858,4.469e-07,4.25
181,0.4347,3.911e-07,4.0938
182,0.5533,3.352e-07,4.5625
183,0.5197,2.793e-07,4.4688
184,0.5228,2.235e-07,4.3125
185,0.4976,1.676e-07,4.6562
186,0.3806,1.117e-07,3.5781
187,0.5533,5.587e-08,4.6562
188,0.4316,0.000e+00,3.875
189,0.5567,0.000e+00,6.8438
